Puntos turísticos;Residencia;Viajeros y pernoctaciones;Periodo;Total
28079 Madrid;Residentes en España;Viajero;2023M06;400.401
28079 Madrid;Residentes en España;Viajero;2023M05;370.883
28079 Madrid;Residentes en España;Viajero;2023M04;368.129
28079 Madrid;Residentes en España;Viajero;2023M03;396.724
28079 Madrid;Residentes en España;Viajero;2023M02;367.715
28079 Madrid;Residentes en España;Viajero;2023M01;374.841
28079 Madrid;Residentes en España;Viajero;2022M12;425.262
28079 Madrid;Residentes en España;Viajero;2022M11;420.173
28079 Madrid;Residentes en España;Viajero;2022M10;375.124
28079 Madrid;Residentes en España;Viajero;2022M09;342.751
28079 Madrid;Residentes en España;Viajero;2022M08;285.965
28079 Madrid;Residentes en España;Viajero;2022M07;307.198
28079 Madrid;Residentes en España;Viajero;2022M06;365.812
28079 Madrid;Residentes en España;Viajero;2022M05;381.286
28079 Madrid;Residentes en España;Viajero;2022M04;380.023
28079 Madrid;Residentes en España;Viajero;2022M03;379.440
28079 Madrid;Residentes en España;Viajero;2022M02;352.696
28079 Madrid;Residentes en España;Viajero;2022M01;283.075
28079 Madrid;Residentes en España;Viajero;2021M12;387.339
28079 Madrid;Residentes en España;Viajero;2021M11;394.352
28079 Madrid;Residentes en España;Viajero;2021M10;398.601
28079 Madrid;Residentes en España;Viajero;2021M09;312.814
28079 Madrid;Residentes en España;Viajero;2021M08;221.145
28079 Madrid;Residentes en España;Viajero;2021M07;240.388
28079 Madrid;Residentes en España;Viajero;2021M06;244.023
28079 Madrid;Residentes en España;Viajero;2021M05;208.211
28079 Madrid;Residentes en España;Viajero;2021M04;142.900
28079 Madrid;Residentes en España;Viajero;2021M03;139.145
28079 Madrid;Residentes en España;Viajero;2021M02;115.670
28079 Madrid;Residentes en España;Viajero;2021M01;108.759
28079 Madrid;Residentes en España;Viajero;2020M12;116.282
28079 Madrid;Residentes en España;Viajero;2020M11;91.656
28079 Madrid;Residentes en España;Viajero;2020M10;73.759
28079 Madrid;Residentes en España;Viajero;2020M09;104.108
28079 Madrid;Residentes en España;Viajero;2020M08;71.842
28079 Madrid;Residentes en España;Viajero;2020M07;93.584
28079 Madrid;Residentes en España;Viajero;2020M06;.
28079 Madrid;Residentes en España;Viajero;2020M05;.
28079 Madrid;Residentes en España;Viajero;2020M04;0
28079 Madrid;Residentes en España;Viajero;2020M03;138.649
